NOTE: this sheet gets updated each time,,,,,,
Date,Time_set_start_UTC,Set,MPVPosition,Core,Mass_g,Notes
9/4/15,21:20,5,6,AL 38,1970.9,
9/4/15,21:20,5,16,AL 39,2179.9,
9/4/15,21:20,5,13,AL 10,1444.6,
9/4/15,21:20,5,14,AL 5,1853.2,
9/4/15,21:20,5,11,AL 22,1861.2,
9/4/15,21:20,5,1,AL 34,2024.7,
9/7/15,,,,AL 38,1970.7,
9/7/15,,,,AL 39,2181.1,
9/7/15,,,,AL 10,1444.6,
9/7/15,,,,AL 5,1850.9,
9/7/15,,,,AL 22,1858.8,
9/7/15,,,,AL 34,2026.8,
9/7/15,,,,AL 23,1979.5,
9/7/15,,,,AL 18,1766.7,
9/7/15,,,,AL 15,1732.3,
9/7/15,,,,AL 21,2182.1,
9/7/15,,,,AL 9,1698.8,
9/7/15,,,,AL 37,1727.9,
9/7/15,,,,AL 19,1623.9,
9/7/15,,,,AL 24,2022.3,
9/7/15,,,,AL 28,2212.2,
9/7/15,,,,AL 27,1489.9,
9/7/15,,,,AL 2,2250.3,
9/7/15,,,,AL 6,1725.3,
9/7/15,,,,AL 25,1624.1,
9/7/15,,,,AL 36,1908.8,
9/7/15,,,,AL 8,1295.8,
9/7/15,,,,AL 7,2049.8,
9/7/15,,,,AL 29,1741.2,
9/7/15,,,,AL 20,2028.1,
9/7/15,,,,AL 12,2119.6,
9/7/15,,,,AL 26,2015.2,
9/7/15,,,,AL 14,1977.6,
9/7/15,,,,AL 1,2048.4,
9/7/15,,,,AL 16,2165.9,
9/7/15,,,,AL 13,1647.2,
9/8/15,7:10,,10,Ambient22,,
9/8/15,17:53,,6,AL 19,1619.1,
9/8/15,17:53,,16,AL 24,2016.8,
9/8/15,17:53,,13,AL 28,2207.7,
9/8/15,17:53,,14,AL 27,1491.8,
9/8/15,17:53,,11,AL 2,2243.7,
9/8/15,17:53,,1,AL 6,1720.4,
9/8/15,18:17,,10,Ambient22,,
9/8/15,18:27,,4,AL 23,1970,
9/8/15,18:27,,2,AL 18,1758.3,
9/8/15,18:27,,12,AL 15,1726.9,
9/8/15,18:27,,8,AL 21,2176.9,
9/8/15,18:27,,5,AL 9,1691.9,
9/8/15,18:27,,9,AL 37,1723.3,
9/8/15,18:51,,10,Ambient22,,
9/8/15,19:36,,6,AL 38,1969.6,
9/8/15,19:36,,16,AL 39,2179.5,
9/8/15,19:36,,13,AL 10,1443.1,
9/8/15,19:36,,14,AL 5,1849.4,
9/8/15,19:36,,11,AL 22,1857.3,
9/8/15,19:36,,1,AL 34,2025.1,
9/8/15,20:00,,10,Ambient4,,
9/8/15,21:00,,4,AL 12,2111.6,
9/8/15,21:00,,2,AL 26,2006.8,
9/8/15,21:00,,12,AL 14,1972.4,
9/8/15,21:00,,8,AL 1,2041,
9/8/15,21:00,,5,AL 16,2160.7,
9/8/15,21:00,,9,AL 13,1642.7,
9/8/15,21:24,,10,Ambient4,,
9/8/15,21:34,,6,AL 25,1620.3,
9/8/15,21:34,,16,AL 36,1908.1,
9/8/15,21:34,,13,AL 8,1294.4,
9/8/15,21:34,,14,AL 7,2048.1,
9/8/15,21:34,,11,AL 29,1738.8,
9/8/15,21:34,,1,AL 20,2025.2,
9/8/15,21:58,,10,Ambient4,,
9/10/15,2:00,,10,Ambient4,,Placeholder; apparently the Picarro ran from the night of 8 Sep until midday 11 September 
9/10/15,,,,AL 38,1973.9,
9/10/15,,,,AL 39,2185.2,
9/10/15,,,,AL 10,1448.9,
9/10/15,,,,AL 5,1855.2,
9/10/15,,,,AL 22,1862.4,
9/10/15,,,,AL 34,2030.2,
9/10/15,,,,AL 23,1950.2,
9/10/15,,,,AL 18,1740.8,
9/10/15,,,,AL 15,1716.9,
9/10/15,,,,AL 21,2165.8,
9/10/15,,,,AL 9,1679.8,
9/10/15,,,,AL 37,1715.9,
9/10/15,,,,AL 19,1607.9,
9/10/15,,,,AL 24,2003.7,
9/10/15,,,,AL 28,2196.7,
9/10/15,,,,AL 27,1470.5,
9/10/15,,,,AL 2,2229.8,
9/10/15,,,,AL 6,1707.4,
9/10/15,,,,AL 25,1624,
9/10/15,,,,AL 36,1914.9,
9/10/15,,,,AL 8,1300.4,
9/10/15,,,,AL 7,2054.1,
9/10/15,,,,AL 29,1744.6,
9/10/15,,,,AL 20,2030.3,
9/10/15,,,,AL 12,2096.5,
9/10/15,,,,AL 26,1992.5,
9/10/15,,,,AL 14,1962,
9/10/15,,,,AL 1,2027.5,
9/10/15,,,,AL 16,2150.8,
9/10/15,,,,AL 13,1636.4,
9/11/15,16:40,,10,Ambient22,,
9/11/15,16:49,,6,AL 38,1969.8,
9/11/15,16:49,,16,AL 39,2179.4,
9/11/15,16:49,,13,AL 10,1445.3,
9/11/15,16:49,,14,AL 5,1850.7,
9/11/15,16:49,,11,AL 22,1860.9,
9/11/15,16:49,,1,AL 34,2026.3,
9/11/15,17:13,,10,Ambient22,,
9/11/15,17:23,,4,AL 23,1943.7,
9/11/15,17:23,,2,AL 18,1734.7,
9/11/15,17:23,,12,AL 15,1713.3,
9/11/15,17:23,,8,AL 21,2162.4,
9/11/15,17:23,,5,AL 9,1676.9,
9/11/15,17:23,,9,AL 37,1713.6,
9/11/15,17:47,,10,Ambient22,,
9/11/15,18:49,,6,AL 19,1609.6,
9/11/15,18:49,,16,AL 24,2004.9,
9/11/15,18:49,,13,AL 28,2198,
9/11/15,18:49,,14,AL 27,1480.2,
9/11/15,18:49,,11,AL 2,2230.1,
9/11/15,18:49,,1,AL 6,1709.2,
9/11/15,19:13,,10,Ambient4,,
9/11/15,19:49,,4,AL 12,2103.5,10ml water added 9/10/2015 accidental 
9/11/15,19:49,,2,AL 26,1999.2,10ml water added 9/10/2015 accidental 
9/11/15,19:49,,12,AL 14,1967.3,10ml water added 9/10/2015 accidental 
9/11/15,19:49,,8,AL 1,2034.7,10ml water added 9/10/2015 accidental 
9/11/15,19:49,,5,AL 16,2158.3,10ml water added 9/10/2015 accidental 
9/11/15,19:49,,9,AL 13,1659.2,30ml water added 9/10/2015 accidental 
9/11/15,20:13,,10,Ambient4,,
9/11/15,20:23,,6,AL 25,1624.6,
9/11/15,20:23,,16,AL 36,1910.3,
9/11/15,20:23,,13,AL 8,1295,
9/11/15,20:23,,14,AL 7,2056,
9/11/15,20:23,,11,AL 29,1745.1,
9/11/15,20:23,,1,AL 20,2034.2,
9/11/15,20:47,,10,Ambient4,,
9/14/15,,,,AL 38,1965.8,
9/14/15,,,,AL 39,2174.1,
9/14/15,,,,AL 10,1442.4,
9/14/15,,,,AL 5,1846.2,
9/14/15,,,,AL 22,1855.5,
9/14/15,,,,AL 34,2020.2,
9/14/15,,,,AL 23,1926,
9/14/15,,,,AL 18,1715.7,
9/14/15,,,,AL 15,1700.8,
9/14/15,,,,AL 21,2151.6,
9/14/15,,,,AL 9,1667.1,
9/14/15,,,,AL 37,1705.3,
9/14/15,,,,AL 19,1597.1,
9/14/15,,,,AL 24,1992.7,
9/14/15,,,,AL 28,2186,
9/14/15,,,,AL 27,1455.6,
9/14/15,,,,AL 2,2214.4,
9/14/15,,,,AL 6,1695.6,
9/14/15,,,,AL 25,1615.9,
9/14/15,,,,AL 36,1905.7,
9/14/15,,,,AL 8,1290.4,
9/14/15,,,,AL 7,2048.3,
9/14/15,,,,AL 29,1736.3,
9/14/15,,,,AL 20,2019.6,
9/14/15,,,,AL 12,2085.9,
9/14/15,,,,AL 26,1983.2,
9/14/15,,,,AL 14,1952.1,
9/14/15,,,,AL 1,2017.4,
9/14/15,,,,AL 16,2147.1,
9/14/15,,,,AL 13,1643,
9/15/15,17:01,,10,Ambient22,,
9/15/15,17:02,,6,AL 19,1594.2,
9/15/15,17:02,,16,AL 24,1989.3,
9/15/15,17:02,,13,AL 28,2182.8,
9/15/15,17:02,,14,AL 27,1448.4,
9/15/15,17:02,,11,AL 2,2210.1,
9/15/15,17:02,,1,AL 6,1692,
9/15/15,17:26,,10,Ambient22,,
9/15/15,18:02,,4,AL 23,1922.3,
9/15/15,18:02,,2,AL 18,1712,
9/15/15,18:02,,12,AL 15,1697.5,
9/15/15,18:02,,8,AL 21,2148.6,
9/15/15,18:02,,5,AL 9,1663.8,
9/15/15,18:02,,9,AL 37,1703,
9/15/15,18:26,,10,Ambient22,,
9/15/15,18:36,,6,AL 38,1965.9,
9/15/15,18:36,,16,AL 39,2175.7,
9/15/15,18:36,,13,AL 10,1442,
9/15/15,18:36,,14,AL 5,1847.1,
9/15/15,18:36,,11,AL 22,1856.5,
9/15/15,18:36,,1,AL 34,2022,
9/15/15,19:00,,10,Ambient4,,
9/15/15,22:32,,4,AL 12,2080.6,
9/15/15,22:32,,2,AL 26,1978.2,
9/15/15,22:32,,12,AL 14,1947.7,
9/15/15,22:32,,8,AL 1,2010.7,
9/15/15,22:32,,5,AL 16,2144,
9/15/15,22:32,,9,AL 13,1637.1,
9/15/15,22:56,,10,Ambient4,,
9/15/15,23:06,,6,AL 25,1612.7,
9/15/15,23:06,,16,AL 36,1906.9,
9/15/15,23:06,,13,AL 8,1288.9,
9/15/15,23:06,,14,AL 7,2045.6,
9/15/15,23:06,,11,AL 29,1733.5,
9/15/15,23:06,,1,AL 20,2014.4,
9/18/15,17:45,,10,Ambient22,,
9/18/15,18:09,,6,AL 38,1964.1,
9/18/15,18:09,,16,AL 39,2173.3,
9/18/15,18:09,,13,AL 10,1438.8,
9/18/15,18:09,,14,AL 5,1844.2,
9/18/15,18:09,,11,AL 22,1852.7,
9/18/15,18:09,,1,AL 34,2015.9,
9/18/15,18:33,,10,Ambient22,,
9/18/15,18:43,,4,AL 23,1921.4,approx. 10ml water added 9/17/2015 to bring up to ~5% volumetric moisture content
9/18/15,18:43,,2,AL 18,1711.5,approx. 10ml water added 9/17/2015 to bring up to ~5% volumetric moisture content
9/18/15,18:43,,12,AL 15,1699,approx. 10ml water added 9/17/2015 to bring up to ~5% volumetric moisture content
9/18/15,18:43,,8,AL 21,2146.8,approx. 10ml water added 9/17/2015 to bring up to ~5% volumetric moisture content
9/18/15,18:43,,5,AL 9,1661.6,approx. 10ml water added 9/17/2015 to bring up to ~5% volumetric moisture content
9/18/15,18:43,,9,AL 37,1703.8,approx. 10ml water added 9/17/2015 to bring up to ~5% volumetric moisture content
9/18/15,19:07,,10,Ambient22,,
9/18/15,19:52,,6,AL 19,1588.8,
9/18/15,19:52,,16,AL 24,1982.6,
9/18/15,19:52,,13,AL 28,2179,
9/18/15,19:52,,14,AL 27,1435.4,
9/18/15,19:52,,11,AL 2,2205.7,
9/18/15,19:52,,1,AL 6,1687.8,
9/18/15,20:16,,10,Ambient4,,
9/18/15,21:10,,4,AL 12,2068.9,
