DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   MPVPosition               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2015-10-20                17:43:55.125              292.40549914              7017.731979               293.40549914              1445363035.126            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         2.0319900603E+000         2.5396166274E+000         4.4819107538E+002         4.5966506236E+002         1.6122321517E+000         1.9885379644E+000         
2015-10-20                17:43:55.628              292.40550495              7017.732119               293.40550495              1445363035.628            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         2.0319900603E+000         2.0744152565E+000         4.4819107538E+002         4.5963274798E+002         1.6087524644E+000         1.9844415414E+000         
2015-10-20                17:43:57.073              292.40552169              7017.732521               293.40552169              1445363037.074            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9027308259E+000         2.0744152565E+000         4.4819107538E+002         4.5963274798E+002         1.6087524644E+000         1.9844415414E+000         
2015-10-20                17:43:58.039              292.40553286              7017.732789               293.40553286              1445363038.039            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9027308259E+000         2.0744152565E+000         4.4919040807E+002         4.5963274798E+002         1.6087524644E+000         1.9844415414E+000         
2015-10-20                17:43:58.562              292.40553891              7017.732934               293.40553891              1445363038.562            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9027308259E+000         1.9423625318E+000         4.4919040807E+002         4.6063022208E+002         1.6046966624E+000         1.9796659214E+000         
2015-10-20                17:44:00.039              292.40555601              7017.733344               293.40555601              1445363040.039            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9032385148E+000         1.9423625318E+000         4.4919040807E+002         4.6063022208E+002         1.6046966624E+000         1.9796659214E+000         
2015-10-20                17:44:01.015              292.40556730              7017.733615               293.40556730              1445363041.015            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9032385148E+000         1.9423625318E+000         4.4948493807E+002         4.6063022208E+002         1.6046966624E+000         1.9796659214E+000         
2015-10-20                17:44:01.536              292.40557333              7017.733760               293.40557333              1445363041.536            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9032385148E+000         1.9428333112E+000         4.4948493807E+002         4.6091852874E+002         1.6049758570E+000         1.9799947006E+000         
2015-10-20                17:44:02.994              292.40559022              7017.734165               293.40559022              1445363042.995            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9025032034E+000         1.9428333112E+000         4.4948493807E+002         4.6091852874E+002         1.6049758570E+000         1.9799947006E+000         
2015-10-20                17:44:03.984              292.40560168              7017.734440               293.40560168              1445363043.985            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9025032034E+000         1.9428333112E+000         4.4919797470E+002         4.6091852874E+002         1.6049758570E+000         1.9799947006E+000         
2015-10-20                17:44:04.500              292.40560765              7017.734584               293.40560765              1445363044.501            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9025032034E+000         1.9421162490E+000         4.4919797470E+002         4.6063395937E+002         1.6073657300E+000         1.9828088091E+000         
2015-10-20                17:44:05.944              292.40562436              7017.734985               293.40562436              1445363045.945            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9023622001E+000         1.9421162490E+000         4.4919797470E+002         4.6063395937E+002         1.6073657300E+000         1.9828088091E+000         
2015-10-20                17:44:06.880              292.40563519              7017.735244               293.40563519              1445363046.880            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9023622001E+000         1.9421162490E+000         4.4952372528E+002         4.6063395937E+002         1.6073657300E+000         1.9828088091E+000         
2015-10-20                17:44:07.401              292.40564123              7017.735389               293.40564123              1445363047.402            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9023622001E+000         1.9420053424E+000         4.4952372528E+002         4.6097755578E+002         1.6076039916E+000         1.9830893455E+000         
2015-10-20                17:44:08.877              292.40565830              7017.735799               293.40565830              1445363048.877            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9034865569E+000         1.9420053424E+000         4.4952372528E+002         4.6097755578E+002         1.6076039916E+000         1.9830893455E+000         
2015-10-20                17:44:09.799              292.40566897              7017.736055               293.40566897              1445363049.799            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9034865569E+000         1.9420053424E+000         4.4905707884E+002         4.6097755578E+002         1.6076039916E+000         1.9830893455E+000         
2015-10-20                17:44:10.319              292.40567499              7017.736200               293.40567499              1445363050.319            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9034865569E+000         1.9432207290E+000         4.4905707884E+002         4.6051853644E+002         1.6127411368E+000         1.9891370969E+000         
2015-10-20                17:44:11.789              292.40569201              7017.736608               293.40569201              1445363051.790            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9021527238E+000         1.9432207290E+000         4.4905707884E+002         4.6051853644E+002         1.6127411368E+000         1.9891370969E+000         
2015-10-20                17:44:12.737              292.40570299              7017.736872               293.40570299              1445363052.738            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9021527238E+000         1.9432207290E+000         4.4902107953E+002         4.6051853644E+002         1.6127411368E+000         1.9891370969E+000         
2015-10-20                17:44:13.252              292.40570894              7017.737014               293.40570894              1445363053.252            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9021527238E+000         1.9421820489E+000         4.4902107953E+002         4.6057493229E+002         1.6333049885E+000         2.0133292923E+000         
2015-10-20                17:44:14.700              292.40572571              7017.737417               293.40572571              1445363054.701            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9021822891E+000         1.9421820489E+000         4.4902107953E+002         4.6057493229E+002         1.6333049885E+000         2.0133292923E+000         
2015-10-20                17:44:15.686              292.40573711              7017.737691               293.40573711              1445363055.686            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9021822891E+000         1.9421820489E+000         4.4919287876E+002         4.6057493229E+002         1.6333049885E+000         2.0133292923E+000         
2015-10-20                17:44:16.226              292.40574336              7017.737841               293.40574336              1445363056.226            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9021822891E+000         1.9423319243E+000         4.4919287876E+002         4.6078574327E+002         1.6222565595E+000         2.0003347844E+000         
2015-10-20                17:44:17.691              292.40576032              7017.738248               293.40576032              1445363057.692            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9020994690E+000         1.9423319243E+000         4.4919287876E+002         4.6078574327E+002         1.6222565595E+000         2.0003347844E+000         
2015-10-20                17:44:18.648              292.40577140              7017.738514               293.40577140              1445363058.649            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9020994690E+000         1.9423319243E+000         4.4892869778E+002         4.6078574327E+002         1.6222565595E+000         2.0003347844E+000         
2015-10-20                17:44:19.180              292.40577755              7017.738661               293.40577755              1445363059.180            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9020994690E+000         1.9421691436E+000         4.4892869778E+002         4.6049215221E+002         1.6270828032E+000         2.0060120788E+000         
2015-10-20                17:44:20.625              292.40579428              7017.739063               293.40579428              1445363060.626            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9030274187E+000         1.9421691436E+000         4.4892869778E+002         4.6049215221E+002         1.6270828032E+000         2.0060120788E+000         
2015-10-20                17:44:21.555              292.40580505              7017.739321               293.40580505              1445363061.556            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9030274187E+000         1.9421691436E+000         4.4858469845E+002         4.6049215221E+002         1.6270828032E+000         2.0060120788E+000         
2015-10-20                17:44:22.063              292.40581093              7017.739462               293.40581093              1445363062.064            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9030274187E+000         1.9430698543E+000         4.4858469845E+002         4.6012579451E+002         1.6185374762E+000         1.9959588761E+000         
2015-10-20                17:44:23.523              292.40582782              7017.739868               293.40582782              1445363063.524            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9023217709E+000         1.9430698543E+000         4.4858469845E+002         4.6012579451E+002         1.6185374762E+000         1.9959588761E+000         
2015-10-20                17:44:24.473              292.40583881              7017.740131               293.40583881              1445363064.473            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9023217709E+000         1.9430698543E+000         4.4903040771E+002         4.6012579451E+002         1.6185374762E+000         1.9959588761E+000         
2015-10-20                17:44:24.986              292.40584476              7017.740274               293.40584476              1445363064.987            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9023217709E+000         1.9422979307E+000         4.4903040771E+002         4.6056811418E+002         1.6229916601E+000         2.0011996066E+000         
