DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   MPVPosition               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2015-09-18                20:51:17.479              260.53561897              6252.854855               261.53561897              1442609477.479            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         2.0700570900E+000         2.5429660105E+000         4.7997087290E+002         4.8423620943E+002         5.4051542257E-001         6.8819094016E-001         
2015-09-18                20:51:18.111              260.53562628              6252.855031               261.53562628              1442609478.111            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         2.0700570900E+000         2.0843999042E+000         4.7997087290E+002         4.8403517301E+002         5.4203591151E-001         6.9009424709E-001         
2015-09-18                20:51:19.565              260.53564311              6252.855435               261.53564311              1442609479.565            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9446203177E+000         2.0843999042E+000         4.7997087290E+002         4.8403517301E+002         5.4203591151E-001         6.9009424709E-001         
2015-09-18                20:51:20.499              260.53565392              6252.855694               261.53565392              1442609480.499            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9446203177E+000         2.0843999042E+000         4.7989005404E+002         4.8403517301E+002         5.4203591151E-001         6.9009424709E-001         
2015-09-18                20:51:22.020              260.53567154              6252.856117               261.53567154              1442609482.021            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9446203177E+000         1.9581102654E+000         4.7989005404E+002         4.8395857085E+002         5.4181258440E-001         6.8981470334E-001         
2015-09-18                20:51:23.589              260.53568970              6252.856553               261.53568970              1442609483.590            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9442042591E+000         1.9581102654E+000         4.7989005404E+002         4.8395857085E+002         5.4181258440E-001         6.8981470334E-001         
2015-09-18                20:51:24.536              260.53570065              6252.856816               261.53570065              1442609484.536            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9442042591E+000         1.9581102654E+000         4.7999154688E+002         4.8395857085E+002         5.4181258440E-001         6.8981470334E-001         
2015-09-18                20:51:25.203              260.53570837              6252.857001               261.53570837              1442609485.203            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9442042591E+000         1.9577025133E+000         4.7999154688E+002         4.8406430180E+002         5.4292971951E-001         6.9121300928E-001         
2015-09-18                20:51:26.676              260.53572542              6252.857410               261.53572542              1442609486.676            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9441368296E+000         1.9577025133E+000         4.7999154688E+002         4.8406430180E+002         5.4292971951E-001         6.9121300928E-001         
2015-09-18                20:51:27.625              260.53573640              6252.857674               261.53573640              1442609487.625            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9441368296E+000         1.9577025133E+000         4.7993155695E+002         4.8406430180E+002         5.4292971951E-001         6.9121300928E-001         
2015-09-18                20:51:28.236              260.53574347              6252.857843               261.53574347              1442609488.236            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9441368296E+000         1.9577094267E+000         4.7993155695E+002         4.8402637672E+002         5.4778686301E-001         6.9729153442E-001         
2015-09-18                20:51:29.694              260.53576035              6252.858248               261.53576035              1442609489.694            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9441572200E+000         1.9577094267E+000         4.7993155695E+002         4.8402637672E+002         5.4778686301E-001         6.9729153442E-001         
2015-09-18                20:51:30.628              260.53577117              6252.858508               261.53577117              1442609490.629            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9441572200E+000         1.9577094267E+000         4.7972715814E+002         4.8402637672E+002         5.4778686301E-001         6.9729153442E-001         
2015-09-18                20:51:31.151              260.53577721              6252.858653               261.53577721              1442609491.151            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9441572200E+000         1.9577676419E+000         4.7972715814E+002         4.8383159954E+002         5.4593831324E-001         6.9497835916E-001         
2015-09-18                20:51:32.595              260.53579394              6252.859054               261.53579394              1442609492.596            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9443127941E+000         1.9577676419E+000         4.7972715814E+002         4.8383159954E+002         5.4593831324E-001         6.9497835916E-001         
2015-09-18                20:51:33.545              260.53580492              6252.859318               261.53580492              1442609493.545            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9443127941E+000         1.9577676419E+000         4.7979162910E+002         4.8383159954E+002         5.4593831324E-001         6.9497835916E-001         
2015-09-18                20:51:34.180              260.53581228              6252.859495               261.53581228              1442609494.181            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9443127941E+000         1.9579873790E+000         4.7979162910E+002         4.8391564713E+002         5.5282325796E-001         7.0359248291E-001         
2015-09-18                20:51:35.637              260.53582913              6252.859899               261.53582913              1442609495.637            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9444070770E+000         1.9579873790E+000         4.7979162910E+002         4.8391564713E+002         5.5282325796E-001         7.0359248291E-001         
2015-09-18                20:51:36.575              260.53583999              6252.860160               261.53583999              1442609496.575            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9444070770E+000         1.9579873790E+000         4.7972142137E+002         4.8391564713E+002         5.5282325796E-001         7.0359248291E-001         
2015-09-18                20:51:37.098              260.53584605              6252.860305               261.53584605              1442609497.099            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9444070770E+000         1.9581971169E+000         4.7972142137E+002         4.8387945406E+002         5.5510127203E-001         7.0644183192E-001         
2015-09-18                20:51:38.559              260.53586295              6252.860711               261.53586295              1442609498.559            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9435731377E+000         1.9581971169E+000         4.7972142137E+002         4.8387945406E+002         5.5510127203E-001         7.0644183192E-001         
2015-09-18                20:51:39.515              260.53587402              6252.860976               261.53587402              1442609499.515            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9435731377E+000         1.9581971169E+000         4.7973311319E+002         4.8387945406E+002         5.5510127203E-001         7.0644183192E-001         
2015-09-18                20:51:40.036              260.53588005              6252.861121               261.53588005              1442609500.036            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9435731377E+000         1.9573963474E+000         4.7973311319E+002         4.8390303931E+002         5.5594431086E-001         7.0749620787E-001         
2015-09-18                20:51:41.506              260.53589706              6252.861529               261.53589706              1442609501.506            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9440313793E+000         1.9573963474E+000         4.7973311319E+002         4.8390303931E+002         5.5594431086E-001         7.0749620787E-001         
2015-09-18                20:51:42.454              260.53590804              6252.861793               261.53590804              1442609502.455            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9440313793E+000         1.9573963474E+000         4.7969069630E+002         4.8390303931E+002         5.5594431086E-001         7.0749620787E-001         
2015-09-18                20:51:42.970              260.53591402              6252.861936               261.53591402              1442609502.971            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9440313793E+000         1.9578657300E+000         4.7969069630E+002         4.8386263103E+002         5.5573052707E-001         7.0722883684E-001         
2015-09-18                20:51:44.403              260.53593059              6252.862334               261.53593059              1442609504.403            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9440950744E+000         1.9578657300E+000         4.7969069630E+002         4.8386263103E+002         5.5573052707E-001         7.0722883684E-001         
2015-09-18                20:51:45.341              260.53594145              6252.862595               261.53594145              1442609505.341            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9440950744E+000         1.9578657300E+000         4.7968185239E+002         4.8386263103E+002         5.5573052707E-001         7.0722883684E-001         
2015-09-18                20:51:45.845              260.53594728              6252.862735               261.53594728              1442609505.845            0                         963                       3.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9440950744E+000         1.9579251137E+000         4.7968185239E+002         4.8385227317E+002         5.5556392520E-001         7.0702047197E-001         
2015-09-18                20:51:47.286              260.53596397              6252.863135               261.53596397              1442609507.287            0                         963                       2.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9434706994E+000         1.9579251137E+000         4.7968185239E+002         4.8385227317E+002         5.5556392520E-001         7.0702047197E-001         
2015-09-18                20:51:48.219              260.53597476              6252.863394               261.53597476              1442609508.219            0                         963                       1.0000000000E+000         1.0000000000E+001         0.0000000000E+000         1.9434706994E+000         1.9579251137E+000         4.7964220843E+002         4.8385227317E+002         5.5556392520E-001         7.0702047197E-001         
